compound,smiles,valid_smiles,smiles_canonical,inchi_key
CPD-11518,CC\C=C/C[C@H]1([C@H](CCC(=O)1)CCCCC/C=C/C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O),True,CC/C=C\C[C@@H]1C(=O)CC[C@@H]1CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],WDBPMRZYBZCIQE-DZXUBONNSA-J
CPD-11525,CC\C=C/C[C@H]1([C@H](CCC(=O)1)CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]),True,CC/C=C\C[C@@H]1C(=O)CC[C@@H]1CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],YYUZYSVPFVOYLB-RGUWMICCSA-J
CPD-11521,CC\C=C/C[C@H]1([C@H](CCC(=O)1)CCCCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O),True,CC/C=C\C[C@@H]1C(=O)CC[C@@H]1CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],VWFUYQVGVAEVNH-WZGLBKMISA-J
CPD-13700,C[C@H](C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])[C@H]6(CC[C@H]7([C@@H]5(CCC4(\[C@@](CCC(=O)\C=4)(C)[C@H]5CC[C@](C)67)))),True,C[C@H](C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CJJBDUCNUMWUJX-ZKTJOKCMSA-J
CPD0-2364,CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(C\C=C/CC([O-])=O)=O)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],True,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)C/C=C\CC(=O)[O-],IFFFDKYRRUVOFP-KIOIQADTSA-I
CPDMETA-13650,CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(C\C=C/CC=O)=O)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],True,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)C/C=C\CC=O,XYGQIZWAZKPGNV-ZVEAYUPDSA-J
2-AMINOMALONATE-SEMIALDEHYDE,C(=O)[C@H]([NH3+])C(=O)[O-],True,[NH3+][C@@H](C=O)C(=O)[O-],XMTCKNXTTXDPJX-REOHCLBHSA-N
3-KETO-ADIPATE,C(=O)([O-])CC(=O)CCC(=O)[O-],True,O=C([O-])CCC(=O)CC(=O)[O-],RTGHRDFWYQHVFW-UHFFFAOYSA-L
3-KETO-ADIPYL-COA,CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(CC(CCC([O-])=O)=O)=O)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],True,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)[O-],VKKKAAPGXHWXOO-BIEWRJSYSA-I
CPD0-2123,CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],True,CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],AZCVXMAPLHSIKY-HSJNEKGZSA-J
CPD0-2105,CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],True,CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],HQANBZHVWIDNQZ-GMHMEAMDSA-J
K-HEXANOYL-COA,CCCC(CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)=O,True,CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],NFOYYXQAVVYWKV-HDRQGHTBSA-J
CPD-10284,CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],True,CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],IQNFBGHLIVBNOU-QSGBVPJFSA-J
CPD0-2106,CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],True,CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],WPIVBCGRGVNDDT-CECATXLMSA-J
CPD-13534,CCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],True,CCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],WIOQNWTZBOQTEU-ZMHDXICWSA-J
MALONATE-S-ALD,C(=O)CC([O-])=O,True,O=CCC(=O)[O-],OAKURXIZZOAYBC-UHFFFAOYSA-M
CPD-20689,C/C=C/CC(=O)[O-],True,C/C=C/CC(=O)[O-],UIUWNILCHFBLEQ-NSCUHMNNSA-M
CPD-20684,C/C=C/CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],True,C/C=C/CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],IKCIAVDGLNYEPT-ITLFWOPZSA-J
PHENYL-PYRUVATE,C([O-])(=O)C(=O)CC1(\C=C/C=C\C=1),True,O=C([O-])C(=O)Cc1ccccc1,BTNMPGBKDVTSJY-UHFFFAOYSA-M
3-PHENYLPROPIONATE,C(CCC1(\C=C/C=C\C=1))([O-])=O,True,O=C([O-])CCc1ccccc1,XMIIGOLPHOKFCH-UHFFFAOYSA-M
CPD-14673,C(#N)CCC1(\C=C/C=C\C=1),True,N#CCCc1ccccc1,ACRWYXSKEHUQDB-UHFFFAOYSA-N
G3P,C(OP(=O)([O-])[O-])[C@@H](O)C(=O)[O-],True,O=C([O-])[C@H](O)COP(=O)([O-])[O-],OSJPPGNTCRNQQC-UWTATZPHSA-K
DPG,C([C@@H](O)C(OP(=O)([O-])[O-])=O)OP(=O)([O-])[O-],True,O=C(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])[O-],LJQLQCAXBUHEAZ-UWTATZPHSA-J
3-P-HYDROXYPYRUVATE,C(OP([O-])(=O)[O-])C(=O)C(=O)[O-],True,O=C([O-])C(=O)COP(=O)([O-])[O-],LFLUCDOSQPJJBE-UHFFFAOYSA-K
CPD-7387,C1(C[NH2+]CC(O)1),True,OC1CC[NH2+]C1,JHHZLHWJQPUNKB-UHFFFAOYSA-O
CPD-21109,CCCC(S)CCO,True,CCCC(S)CCO,TYZFMFVWHZKYSE-UHFFFAOYSA-N
CPD-21111,CCC(S)CCO,True,CCC(S)CCO,PRJACVDGNSZBLE-UHFFFAOYSA-N
3-SULFINOALANINE,C([C@H]([NH3+])C(=O)[O-])S([O-])=O,True,[NH3+][C@@H](CS(=O)[O-])C(=O)[O-],ADVPTQAUNPRNPO-REOHCLBHSA-M
CPD-10419,C(\C=C/C(/S(=O)(=O)[O-])=C\C(=O)[O-])([O-])=O,True,O=C([O-])/C=C\C(=C/C(=O)[O-])S(=O)(=O)[O-],WEJLTUKIYDTEKT-BXTBVDPRSA-K
CPD-380,C(=O)([O-])C(=O)CS(=O)(=O)[O-],True,O=C([O-])C(=O)CS(=O)(=O)[O-],BUTHMSUEBYPMKJ-UHFFFAOYSA-L
3-UREIDO-PROPIONATE,C(NC(=O)N)CC([O-])=O,True,NC(=O)NCCC(=O)[O-],JSJWCHRYRHKBBW-UHFFFAOYSA-M
CPDQT-36,C(C(CCCSC)C(O)C(=O)[O-])(=O)[O-],True,CSCCCC(C(=O)[O-])C(O)C(=O)[O-],SQXVIIOPMYSNCP-UHFFFAOYSA-L
CPD-13757,CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)[C@@H]1([C@H](O)CC[C@]2(C)(C(=O)CC[C@@H]12)))COP(=O)(OP(=O)(OC[C@@H]3([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O3)N4(C5(\N=C/N=C(C(\N=C/4)=5)/N))))[O-])[O-],True,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)[C@@H]1[C@H](O)CC[C@]2(C)C(=O)CC[C@@H]12,GXYIOJONRQGUCV-SWBALSFASA-J
CPD-13758,CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[C@@H]1([C@H](O)CC[C@]2(C)(C(=O)CC[C@@H]12)))COP(=O)(OP(=O)(OC[C@@H]3([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O3)N4(C5(\N=C/N=C(C(\N=C/4)=5)/N))))[O-])[O-],True,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[C@@H]1[C@H](O)CC[C@]2(C)C(=O)CC[C@@H]12,OGAHROYMEOBORV-XONGILKKSA-J
CPD-21411,CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@@H]1([C@H](O)CC[C@]2(C)(C(=O)CC[C@@H]12)))COP(=O)(OP(=O)(OC[C@@H]3([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O3)N4(C5(\N=C/N=C(C(\N=C/4)=5)/N))))[O-])[O-],True,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@@H]1[C@H](O)CC[C@]2(C)C(=O)CC[C@@H]12,LWDSDRAPSKPQDI-NEIWHQIASA-J
CPD-13711,C[C@]12(CCC(=O)[C@@H](CCC(=O)[O-])[C@H](CCC(=O)1)2),True,C[C@@]12CCC(=O)[C@@H](CCC(=O)[O-])[C@@H]1CCC2=O,PCCFNLPWOFTZPJ-MWODSPESSA-M
CPD-13754,CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC[C@@H]1(C(=O)CC[C@]2(C)(C(=O)CC[C@@H]12)))COP(=O)(OP(=O)(OC[C@@H]3([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O3)N4(C5(\N=C/N=C(C(\N=C/4)=5)/N))))[O-])[O-],True,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC[C@@H]1C(=O)CC[C@]2(C)C(=O)CC[C@@H]12,IWNWMTZIJPUDPV-MDQHZGBLSA-J
CPDQT-37,CSCCCCC(C(O)C(=O)[O-])C(=O)[O-],True,CSCCCCC(C(=O)[O-])C(O)C(=O)[O-],ZIZLDVKLMYVMNX-UHFFFAOYSA-L
CPD-13993,C2(Cl)(\N=C(NC1(\C=C(\C=C/C=1)\S([O-])(=O)=O))/N=C(N)\N=2),True,Nc1nc(Cl)nc(Nc2cccc(S(=O)(=O)[O-])c2)n1,INKDIXXCRXOUGO-UHFFFAOYSA-M
CPDQT-38,CSCCCCCC(C(O)C(=O)[O-])C(=O)[O-],True,CSCCCCCC(C(=O)[O-])C(O)C(=O)[O-],YBISUHXEJDGADQ-UHFFFAOYSA-L
CPDQT-39,CSCCCCCCC(C(O)C(=O)[O-])C(=O)[O-],True,CSCCCCCCC(C(=O)[O-])C(O)C(=O)[O-],LQQZHLHCFSCJCU-UHFFFAOYSA-L
CPDQT-40,CSCCCCCCCC(C(O)C(=O)[O-])C(=O)[O-],True,CSCCCCCCCC(C(=O)[O-])C(O)C(=O)[O-],SXLJFGXGVBWOOB-UHFFFAOYSA-L
CPD-12199,CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@H](O)C1(\C=C/C(/O)=C\C=1))COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-],True,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@H](O)c1ccc(O)cc1,VDDFXUMTXCQMFM-UGDQNKSBSA-J
CPD-13352,CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1([C@@H](OP([O-])([O-])=O)O[C@@H]([C@@H](O)[C@H](OC(C[C@H](O)CCCCCCCCCCC)=O)1)CO[C@@H]4(O[C@H](CO[C@@]3(C(=O)[O-])(O[C@H]([C@H](O)CO)[C@H](O)[C@H](O[C@]2(O[C@H]([C@@H](CO)O)[C@H](O)[C@H](O)C2)C(=O)[O-])C3))[C@H]([C@@H]([C@H]4NC(C[C@H](O)CCCCCCCCCCC)=O)OC(=O)C[C@H](O)CCCCCCCCCCC)OP([O-])(=O)O[C@H]5(OC[C@H]([NH3+])[C@H](O)[C@@H](O)5))),True,CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)O[C@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O)[C@@H]([C@H](O)CO)O2)[C@@H](OP(=O)([O-])O[C@H]2OC[C@H]([NH3+])[C@H](O)[C@H]2O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC,QIVGFRSPDCVBFZ-FMIAHSSQSA-J
L-ARA4N-MODIFIED-KDO2-LIPID-A,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]4([C@H]([C@H](OC[C@H]1(O[C@H](OP([O-])([O-])=O)[C@H](NC(C[C@H](O)CCCCCCCCCCC)=O)[C@@H](OC(C[C@H](O)CCCCCCCCCCC)=O)[C@H](O)1))O[C@H](CO[C@]3(C([O-])=O)(O[C@H]([C@@H](CO)O)[C@H](O)[C@H](O[C@@]2(C([O-])=O)(O[C@H]([C@@H](CO)O)[C@H](O)[C@H](O)C2))C3))[C@H]4OP([O-])(O[C@@H]5([C@@H]([C@H]([C@H](CO5)[NH3+])O)O))=O)NC(C[C@H](OC(CCCCCCCCCCC)=O)CCCCCCCCCCC)=O),True,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]1[C@@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)O[C@H](CO[C@@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O)[C@@H]([C@H](O)CO)O2)[C@H]1OP(=O)([O-])O[C@H]1OC[C@H]([NH3+])[C@H](O)[C@H]1O,LXMYMRJTVHRJDS-ONGUXPFGSA-J
PANTETHEINE-P,CC([C@@H](O)C(=O)NCCC(NCCS)=O)(C)COP([O-])(=O)[O-],True,CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS,JDMUPRLRUUMCTL-VIFPVBQESA-L
PHOSPHOPANTOTHEINE-GROUP,CC([C@@H](O)C(=O)NCCC(NCCS)=O)(C)COP([O-])(=O)[O-],True,CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS,JDMUPRLRUUMCTL-VIFPVBQESA-L
CPD-253,C(=O)\C=C(C[C@H]([NH3+])C(=O)[O-])/C=C(C([O-])=O)/O,True,[NH3+][C@@H](CC(=C/C=O)/C=C(/O)C(=O)[O-])C(=O)[O-],FNEGJFDTWWXQES-QTWONPPNSA-M
CPD-16179,C(CC1(\C=C/C(/O)=C\C=1))=[NH2+],True,[NH2+]=CCc1ccc(O)cc1,OMVOFIWLPQPOCU-UHFFFAOYSA-O
4-CYTIDINE-5-DIPHOSPHO-2-C,C[C@](O)(CO)[C@H](O)COP(OP([O-])(=O)OC[C@@H]2([C@H]([C@@H](O)[C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O))([O-])=O,True,C[C@](O)(CO)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,YFAUKWZNPVBCFF-XHIBXCGHSA-L
GAMMA-GLUTAMYL-GAMMA-AMINOBUTYRALDEH,C(=O)CCCNC(=O)CC[C@H]([NH3+])C(=O)[O-],True,[NH3+][C@@H](CCC(=O)NCCCC=O)C(=O)[O-],JZNLEPLZUABCSQ-ZETCQYMHSA-N
CPD-9000,C(=O)(NCCCC([O-])=O)CC[C@H]([NH3+])C(=O)[O-],True,[NH3+][C@@H](CCC(=O)NCCCC(=O)[O-])C(=O)[O-],MKYPKZSGLSOGLL-LURJTMIESA-M
CPD-21192,C(SC2(\C=C(\N=C(C1(\C=C/C=C\C=1))/N=2)\Cl))[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O,True,[NH3+][C@@H](CCC(=O)N[C@@H](CSc1cc(Cl)nc(-c2ccccc2)n1)C(=O)NCC(=O)[O-])C(=O)[O-],ORMLEFSJTSCINS-STQMWFEESA-M
CPD-479,CSCCC(C([O-])=O)=O,True,CSCCC(=O)C(=O)[O-],SXFSQZDSUWACKX-UHFFFAOYSA-M
CPD-20683,CC(OP([O-])([O-])=O)CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],True,CC(CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])OP(=O)([O-])[O-],PEJFDCWHHVWOCK-XMWLYHNJSA-H
CPD-30,CC(NCCCC=O)=O,True,CC(=O)NCCCC=O,DDSLGZOYEPKPSJ-UHFFFAOYSA-N
CPD-35,CC(=O)NCCCC(=O)[O-],True,CC(=O)NCCCC(=O)[O-],UZTFMUBKZQVKLK-UHFFFAOYSA-M
CPD-22670,CC(=O)OC1(\C=C/C(/O)=C\C=1),True,CC(=O)Oc1ccc(O)cc1,HBMCQTHGYMTCOF-UHFFFAOYSA-N
AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP,CC1(\N=C(C(/COP([O-])(=O)OP([O-])(=O)[O-])=C\N=1)\N),True,Cc1ncc(COP(=O)([O-])OP(=O)([O-])[O-])c(N)n1,AGQJQCFEPUVXNK-UHFFFAOYSA-K
AMINO-HYDROXYMETHYL-METHYL-PYR-P,CC1(\N=C/C(/COP(=O)([O-])[O-])=C(N)\N=1),True,Cc1ncc(COP(=O)([O-])[O-])c(N)n1,PKYFHKIYHBRTPI-UHFFFAOYSA-L
CPD0-1189,CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP([O-])(=O)O[C@H]1([C@@H]([C@@H](O)[C@@H]([NH3+])CO1)O),True,CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])O[C@@H]1OC[C@H]([NH3+])[C@H](O)[C@H]1O,BAFPKKRTAQMYMS-ZHDONCHNSA-N
4-AMINO-4-DEOXYCHORISMATE,C=C(C(=O)[O-])O[C@H]1([C@H]([NH3+])\C=C/C(/C([O-])=O)=C\1),True,C=C(O[C@@H]1C=C(C(=O)[O-])C=C[C@H]1[NH3+])C(=O)[O-],OIUJHGOLFKDBSU-HTQZYQBOSA-M
P-AMINO-BENZOATE,C(=O)([O-])C1(\C=C/C(/N)=C\C=1),True,Nc1ccc(C(=O)[O-])cc1,ALYNCZNDIQEVRV-UHFFFAOYSA-M
4-AMINO-BUTYRALDEHYDE,C(C[NH3+])CC=O,True,[NH3+]CCCC=O,DZQLQEYLEYWJIB-UHFFFAOYSA-O
4-AMINO-BUTYRATE,C(C[NH3+])CC([O-])=O,True,[NH3+]CCCC(=O)[O-],BTCSSZJGUNDROE-UHFFFAOYSA-N
CPD-259,C1(\C(\N)=C/C=C(\C=1)/O),True,Nc1ccc(O)cc1,PLIKAWJENQZMHA-UHFFFAOYSA-N
CPD-13530,COC(\C=C(\C=C(C(=O)[O-])/O)/C([O-])=O)=O,True,COC(=O)/C=C(/C=C(\O)C(=O)[O-])C(=O)[O-],GMSSRLGBUSZBFV-DSLBBWRCSA-L
CPD-87,C(/C=O)=C(/C=C(C(=O)[O-])/O)\C(=O)[O-],True,O=C/C=C(\C=C(\O)C(=O)[O-])C(=O)[O-],YOMOLPRSDGXHCY-CLLRDSTBSA-L
CPD-15668,CCCCCC\C=C/CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],True,CCCCCC/C=C\CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],AFMMIIQKXQNEDN-NSDZGHCESA-J
COUMARATE,C(=O)([O-])/C=C/C1(\C=C/C(/O)=C\C=1),True,O=C([O-])/C=C/c1ccc(O)cc1,NGSWKAQJJWESNS-ZZXKWVIFSA-M
